label	scenario	in_len	out_len	prompts	conc	req_s	out_tok_s	total_tok_s	ttft_ms	tpot_ms	p99_tpot_ms
deepep_low_latency	conc-scaling	1024	128	4	1	0.15	19.53	177.61	1214.53	42.04	43.61
deepep_low_latency	conc-scaling	1024	128	16	4	0.56	71.89	653.71	1341.37	45.43	48.78
deepep_low_latency	conc-scaling	1024	128	64	16	1.58	201.63	1833.53	2022.88	63.61	73.32
deepep_low_latency	conc-scaling	1024	128	128	32	2.25	287.51	2614.52	2564.81	90.85	117.71
deepep_low_latency	conc-scaling	1024	128	256	64	3.31	423.12	3847.77	3574.73	122.25	145.61
deepep_low_latency	prefill	1024	32	16	8	2.91	93.27	3112.95	834.02	59.39	81.68
deepep_low_latency	prefill	4096	32	16	8	0.92	29.54	3822.04	4890.88	114.62	157.07
deepep_low_latency	prefill	16384	32	16	8	0.28	9.09	4664.18	19782.52	181.99	257.85
deepep_low_latency	decode	256	128	16	8	1.24	158.20	489.42	356.30	47.88	51.90
deepep_low_latency	decode	256	512	16	8	0.31	156.77	238.83	370.91	50.34	51.01
deepep_low_latency	decode	256	1024	16	8	0.16	167.98	211.95	457.67	47.18	50.46
deepep_high_throughput	conc-scaling	1024	128	4	1	0.03	4.08	37.09	829.83	240.58	242.63
deepep_high_throughput	conc-scaling	1024	128	16	4	0.12	15.93	144.89	856.98	246.03	248.86
deepep_high_throughput	conc-scaling	1024	128	64	16	0.48	61.87	562.65	1426.56	248.21	267.78
deepep_high_throughput	conc-scaling	1024	128	128	32	0.96	122.58	1114.72	1938.94	246.31	254.01
deepep_high_throughput	conc-scaling	1024	128	256	64	1.78	227.65	2070.17	3632.57	253.69	275.47
deepep_high_throughput	prefill	1024	32	16	8	0.95	30.37	1013.51	741.57	244.58	252.19
deepep_high_throughput	prefill	4096	32	16	8	0.69	21.97	2842.02	3068.95	274.00	337.48
deepep_high_throughput	prefill	16384	32	16	8	0.40	12.95	6650.50	8571.91	351.67	506.77
deepep_high_throughput	decode	256	128	16	8	0.25	31.38	97.08	1638.87	243.21	259.03
